board_type,board_code,board_name,source,member_count,updated_at,confidence
concept,BK1665,大盘成长,eastmoney_push2_clist,73,2026-06-29T17:30:53,100
concept,BK1630,昨日首板,eastmoney_push2_clist,54,2026-06-29T17:30:53,100
concept,BK0664,婴童概念,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK1670,中盘价值,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK1107,科创板做市商,eastmoney_push2_clist,14,2026-06-29T17:30:53,100
concept,BK1640,价值股,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK1682,2026一季报扭亏,eastmoney_push2_clist,11,2026-06-29T17:30:53,100
concept,BK0907,转基因,eastmoney_push2_clist,17,2026-06-29T17:30:53,100
concept,BK0701,中证500,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK1664,中盘股,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK0821,MSCI中国,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK0612,上证180_,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK1050,昨日涨停_含一字,eastmoney_push2_clist,73,2026-06-29T17:30:53,100
concept,BK0477,酿酒概念,eastmoney_push2_clist,38,2026-06-29T17:30:53,100
concept,BK1102,空气能热泵,eastmoney_push2_clist,35,2026-06-29T17:30:53,100
concept,BK1655,零售概念,eastmoney_push2_clist,62,2026-06-29T17:30:53,100
concept,BK0653,养老概念,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK0967,水产概念,eastmoney_push2_clist,16,2026-06-29T17:30:53,100
concept,BK1628,2025三季报扭亏,eastmoney_push2_clist,11,2026-06-29T17:30:53,100
concept,BK0908,HJT电池,eastmoney_push2_clist,39,2026-06-29T17:30:53,100
concept,BK1713,科技风格,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK0500,HS300_,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK0815,昨日涨停,eastmoney_push2_clist,69,2026-06-29T17:30:53,100
concept,BK0643,上海自贸,eastmoney_push2_clist,35,2026-06-29T17:30:53,100
concept,BK0965,社区团购,eastmoney_push2_clist,38,2026-06-29T17:30:53,100
concept,BK0933,退税商店,eastmoney_push2_clist,12,2026-06-29T17:30:53,100
concept,BK1663,大盘股,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK0519,稀缺资源,eastmoney_push2_clist,78,2026-06-29T17:30:53,100
concept,BK1666,大盘价值,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK0977,碳化硅,eastmoney_push2_clist,46,2026-06-29T17:30:53,100
concept,BK0718,证金持股,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK1661,行业龙头,eastmoney_push2_clist,96,2026-06-29T17:30:53,100
concept,BK0926,湖北自贸,eastmoney_push2_clist,28,2026-06-29T17:30:53,100
concept,BK0916,氮化镓,eastmoney_push2_clist,47,2026-06-29T17:30:53,100
concept,BK1668,小盘价值,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK0838,东北振兴,eastmoney_push2_clist,56,2026-06-29T17:30:53,100
concept,BK1185,冰雪经济,eastmoney_push2_clist,42,2026-06-29T17:30:53,100
concept,BK0707,沪股通,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK0547,黄金概念,eastmoney_push2_clist,71,2026-06-29T17:30:53,100
concept,BK1139,中特估,eastmoney_push2_clist,81,2026-06-29T17:30:53,100
concept,BK0896,白酒,eastmoney_push2_clist,46,2026-06-29T17:30:53,100
concept,BK0825,新零售,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK1197,反内卷概念,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK0954,盲盒经济,eastmoney_push2_clist,12,2026-06-29T17:30:53,100
concept,BK1017,资源开采概念,eastmoney_push2_clist,21,2026-06-29T17:30:53,100
concept,BK0925,北交所概念,eastmoney_push2_clist,25,2026-06-29T17:30:53,100
concept,BK0485,旅游酒店,eastmoney_push2_clist,38,2026-06-29T17:30:53,100
concept,BK0892,乳业,eastmoney_push2_clist,31,2026-06-29T17:30:53,100
concept,BK0604,参股保险,eastmoney_push2_clist,75,2026-06-29T17:30:53,100
concept,BK0852,冷链物流,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK1636,红利破净股,eastmoney_push2_clist,46,2026-06-29T17:30:53,100
concept,BK0884,光刻机(胶),eastmoney_push2_clist,96,2026-06-29T17:30:53,100
concept,BK1026,调味品概念,eastmoney_push2_clist,33,2026-06-29T17:30:53,100
concept,BK1641,红利股,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK0917,半导体概念,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK0743,深证100R,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK0951,刀片电池,eastmoney_push2_clist,12,2026-06-29T17:30:53,100
concept,BK1029,汽车整车,eastmoney_push2_clist,26,2026-06-29T17:30:53,100
concept,BK0888,农业种植,eastmoney_push2_clist,85,2026-06-29T17:30:53,100
concept,BK0969,汽车芯片,eastmoney_push2_clist,71,2026-06-29T17:30:53,100
concept,BK1639,周期股,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK0568,深成500,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK1672,破发股,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK1112,破净股,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK1073,啤酒概念,eastmoney_push2_clist,19,2026-06-29T17:30:53,100
concept,BK0924,地摊经济,eastmoney_push2_clist,30,2026-06-29T17:30:53,100
concept,BK0498,AB股,eastmoney_push2_clist,72,2026-06-29T17:30:53,100
concept,BK0823,养老金,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK0867,富时罗素,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK1673,破增发价股,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK1631,昨日炸板,eastmoney_push2_clist,39,2026-06-29T17:30:53,100
concept,BK1653,味蕾经济,eastmoney_push2_clist,90,2026-06-29T17:30:53,100
concept,BK1101,先进封装,eastmoney_push2_clist,49,2026-06-29T17:30:53,100
concept,BK1025,预制菜概念,eastmoney_push2_clist,64,2026-06-29T17:30:53,100
concept,BK1001,内贸流通,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK1717,题材股,eastmoney_push2_clist,60,2026-06-29T17:30:53,100
concept,BK0952,第三代半导体,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK0879,标准普尔,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK0665,电商概念,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK0470,造纸印刷,eastmoney_push2_clist,40,2026-06-29T17:30:53,100
concept,BK1714,金融地产风格,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK0514,参股券商,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK0492,煤化工概念,eastmoney_push2_clist,74,2026-06-29T17:30:53,100
concept,BK0567,股权激励,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK0672,沪企改革,eastmoney_push2_clist,39,2026-06-29T17:30:53,100
concept,BK1086,粮食概念,eastmoney_push2_clist,30,2026-06-29T17:30:53,100
concept,BK0711,券商概念,eastmoney_push2_clist,55,2026-06-29T17:30:53,100
concept,BK1087,超超临界发电,eastmoney_push2_clist,49,2026-06-29T17:30:53,100
concept,BK0566,滨海新区,eastmoney_push2_clist,21,2026-06-29T17:30:53,100
concept,BK1186,首发经济,eastmoney_push2_clist,41,2026-06-29T17:30:53,100
concept,BK0940,网红经济,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK1643,小盘股,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK1183,谷子经济,eastmoney_push2_clist,76,2026-06-29T17:30:53,100
concept,BK1654,文娱消费,eastmoney_push2_clist,92,2026-06-29T17:30:53,100
concept,BK0834,乡村振兴,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
